timestamp(ms),myData.gz,myData.gy,varx,vary,
"1782220408.335","-0.67","-1.53",,,
"1782220408.343","-0.61","-1.47",,,
"1782220408.35","-0.61","-1.47",,,
"1782220408.354","-0.79","-1.53",,,
"1782220408.367",,"-1.53",,,
"1782220408.368","-0.43","-1.53",,,
"1782220408.378","-0.43","-1.53",,,
"1782220408.381","-0.67","-1.34",,,
"1782220408.392","-0.67","-1.34",,,
"1782220408.406","-0.61","-1.4",,,
"1782220408.411","-0.73","-1.47",,,
"1782220408.42","-0.73","-1.47",,,
"1782220408.424","-0.61","-1.71",,,
"1782220408.434","-0.61","-1.71",,,
"1782220408.441","-0.67","-1.59",,,
"1782220408.454","-0.73","-1.47",,,
"1782220408.463","-0.73","-1.47",,,
"1782220408.476","-0.85","-1.34",,,
"1782220408.479","-0.73","-1.4",,,
"1782220408.496","-0.61","-1.53",,,
"1782220408.505","-0.61","-1.53",,,
"1782220408.508",,"-1.59",,,
"1782220408.509","-0.61",,,,
"1782220408.524",,"-1.59",,,
"1782220408.525","-0.55","-1.47",,,
"1782220408.534","-0.55","-1.47",,,
"1782220408.547","-0.73","-1.4",,,
"1782220408.553",,"-1.34",,,
"1782220408.554","-0.49",,,,
"1782220408.561","-0.49","-1.34",,,
"1782220408.565","-0.67","-1.47",,,
"1782220408.582","-0.55","-1.4",,,
"1782220408.594","-0.61","-1.47",,,
"1782220408.604","-0.61","-1.47",,,
"1782220408.62",,"-1.59",,,
"1782220408.621","-0.61","-1.34",,,
"1782220408.634","-0.61","-1.34",,,
"1782220408.668","-0.73","-1.53",,,
"1782220408.669","-0.67","-1.4",,,
"1782220408.702",,"-1.4",,,
"1782220408.703","-0.67","-1.59",,,
"1782220408.706","-0.79","-1.47",,,
"1782220408.716","-0.79","-1.47",,,
"1782220408.721","-0.61","-1.47",,,
"1782220408.736","-0.92","-1.53",,,
"1782220408.745","-0.92","-1.53",,,
"1782220408.758","-0.61","-1.53",,,
"1782220408.761","-0.79","-1.4",,,
"1782220408.772","-0.79","-1.4",,,
"1782220408.775","-1.04","-1.47",,,
"1782220408.786","-1.04","-1.47",,,
"1782220408.791","-0.55","-1.47",,,
"1782220408.806","-0.55","-1.47",,,
"1782220408.807","-0.61","-1.47",,,
"1782220408.815","-0.61","-1.47",,,
"1782220408.828",,"-1.65",,,
"1782220408.829","-0.61",,,,
"1782220408.833","-0.55","-1.59",,,
"1782220408.843","-0.55","-1.59",,,
"1782220408.849",,"-1.47",,,
"1782220408.85","-0.67",,,,
"1782220408.857","-0.67","-1.47",,,
"1782220408.861",,"-1.53",,,
"1782220408.862","-0.61",,,,
"1782220408.871","-0.61","-1.53",,,
"1782220408.875","-0.55","-1.47",,,
"1782220408.885",,"-1.47",,,
"1782220408.886","-0.55",,,,
"1782220408.905","-0.67","-1.4",,,
"1782220408.913","-0.67","-1.4",,,
"1782220408.916","-0.85","-1.47",,,
"1782220408.927","-0.85","-1.47",,,
"1782220408.931","-0.79","-1.53",,,
"1782220408.95","-0.67","-1.47",,,
"1782220408.956","-0.67","-1.47",,,
"1782220408.969","-0.67","-1.4",,,
"1782220408.974","-0.85","-1.4",,,
"1782220408.983",,"-1.4",,,
"1782220408.984","-0.85",,,,
"1782220408.987",,"-1.47",,,
"1782220408.988","-0.67",,,,
"1782220408.997",,"-1.47",,,
"1782220408.998","-0.67",,,,
"1782220409.004","-0.55","-1.53",,,
"1782220409.016","-0.67","-1.59",,,
"1782220409.033","-0.67","-1.59",,,
"1782220409.046","-0.67","-1.28",,,
"1782220409.054","-0.67","-1.28",,,
"1782220409.057","-0.73","-1.59",,,
"1782220409.074","-0.67","-1.53",,,
"1782220409.083","-0.67","-1.53",,,
"1782220409.086","-0.67","-1.53",,,
"1782220409.099","-0.67","-1.53",,,
"1782220409.11",,"-1.34",,,
"1782220409.111","-0.49",,,,
"1782220409.117","-0.67","-1.59",,,
"1782220409.125","-0.67","-1.59",,,
"1782220409.128","-0.73","-1.34",,,
"1782220409.142","-0.73","-1.47",,,
"1782220409.143","-0.61",,,,
"1782220409.153","-0.61","-1.47",,,
"1782220409.157","-0.49","-1.28",,,
"1782220409.167","-0.49","-1.28",,,
"1782220409.181","-0.67","-1.34",,,
"1782220409.185","-0.67","-1.65",,,
"1782220409.197","-0.67","-1.65",,,
"1782220409.2",,"-1.53",,,
"1782220409.201","-0.67",,,,
"1782220409.21","-0.67","-1.53",,,
"1782220409.213","-0.79","-1.4",,,
"1782220409.224","-0.79","-1.4",,,
"1782220409.23","-0.73","-1.34",,,
"1782220409.238",,"-1.34",,,
"1782220409.239","-0.73",,,,
"1782220409.242","-0.85","-1.47",,,
"1782220409.254","-0.85","-1.47",,,
"1782220409.266","-0.73","-1.47",,,
"1782220409.27","-0.43","-1.28",,,
"1782220409.281","-0.43","-1.28",,,
"1782220409.285","-0.67","-1.47",,,
"1782220409.295","-0.67","-1.47",,,
"1782220409.298","-0.61","-1.53",,,
"1782220409.311","-0.61","-1.53",,,
"1782220409.317","-0.73","-1.59",,,
"1782220409.323","-0.73","-1.59",,,
"1782220409.337","-0.61","-1.47",,,
"1782220409.34",,"-1.47",,,
"1782220409.341","-0.67",,,,
"1782220409.351","-0.67","-1.47",,,
"1782220409.354","-0.55","-1.34",,,
"1782220409.365","-0.55","-1.34",,,
"1782220409.368","-0.49","-1.59",,,
"1782220409.379",,"-1.59",,,
"1782220409.38","-0.49",,,,
"1782220409.385","-0.61","-1.71",,,
"1782220409.394","-0.61","-1.71",,,
"1782220409.413","-0.73","-1.47",,,
"1782220409.421",,"-1.53",,,
"1782220409.422","-0.61","-1.53",,,
"1782220409.426","-0.73","-1.53",,,
"1782220409.436","-0.73","-1.53",,,
"1782220409.439","-0.73","-1.59",,,
"1782220409.45","-0.73","-1.59",,,
"1782220409.455","-0.67","-1.47",,,
"1782220409.464","-0.67","-1.47",,,
"1782220409.477",,"-1.59",,,
"1782220409.478","-0.73",,,,
"1782220409.482",,"-1.4",,,
"1782220409.483","-0.85",,,,
"1782220409.498","-0.79","-1.47",,,
"1782220409.506","-0.79","-1.47",,,
"1782220409.516","-0.73","-1.59",,,
"1782220409.528",,"-1.59",,,
"1782220409.529","-0.61","-1.28",,,
"1782220409.535","-0.61","-1.28",,,
"1782220409.548","-0.79","-1.53",,,
"1782220409.553","-0.92","-1.4",,,
"1782220409.568","-0.67","-1.59",,,
"1782220409.576",,"-1.59",,,
"1782220409.577","-0.67",,,,
"1782220409.58","-0.79","-1.4",,,
"1782220409.591","-0.79","-1.4",,,
"1782220409.594","-0.85","-1.53",,,
"1782220409.607","-0.85","-1.53",,,
"1782220409.618",,"-1.53",,,
"1782220409.619","-0.67",,,,
"1782220409.622","-0.67","-1.53",,,
"1782220409.633","-0.67","-1.53",,,
"1782220409.636","-0.67","-1.4",,,
"1782220409.651","-0.55","-1.34",,,
"1782220409.667","-0.67","-1.4",,,
"1782220409.676","-0.67","-1.4",,,
"1782220409.679","-0.61","-1.4",,,
"1782220409.691","-0.61","-1.4",,,
"1782220409.705","-0.55","-1.4",,,
"1782220409.711","-0.73","-1.53",,,
"1782220409.721","-0.73","-1.53",,,
"1782220409.724","-0.43","-1.53",,,
"1782220409.733","-0.43","-1.53",,,
"1782220409.736","-0.79","-1.4",,,
"1782220409.753",,"-1.4",,,
"1782220409.754","-0.61","-1.53",,,
"1782220409.762",,"-1.53",,,
"1782220409.763","-0.61",,,,
"1782220409.775","-0.55","-1.59",,,
"1782220409.779","-0.43","-1.53",,,
"1782220409.799","-0.73","-1.47",,,
"1782220409.804","-0.73","-1.47",,,
"1782220409.807","-0.55","-1.59",,,
"1782220409.826","-0.55","-1.65",,,
"1782220409.831",,"-1.65",,,
"1782220409.832","-0.55",,,,
"1782220409.845","-0.73","-1.53",,,
"1782220409.848",,"-1.4",,,
"1782220409.849","-0.85",,,,
"1782220409.86","-0.85","-1.4",,,
"1782220409.866","-0.67","-1.53",,,
"1782220409.874","-0.67","-1.53",,,
"1782220409.877","-0.67","-1.47",,,
"1782220409.888","-0.67","-1.47",,,
"1782220409.895","-0.61","-1.47",,,
"1782220409.902","-0.61","-1.47",,,
"1782220409.916","-0.73","-1.47",,,
"1782220409.925",,"-1.4",,,
"1782220409.926","-0.67",,,,
"1782220409.93","-0.67","-1.4",,,
"1782220409.933",,"-1.47",,,
"1782220409.934","-0.61",,,,
"1782220409.949","-0.55","-1.77",,,
"1782220409.959","-0.55","-1.77",,,
"1782220409.962","-0.79","-1.4",,,
"1782220409.973","-0.79","-1.4",,,
"1782220409.986",,"-1.47",,,
"1782220409.987","-0.67",,,,
